name,formattedAddress,lat1,lon1,lat2,lon2,lat3,lon3,lat4,lon4,lat5,lon5,lat6,lon6,lat7,lon7,lat8,lon8,lat9,lon9,lat10,lon10
Westfield Stratford,"Olympic Park, Montfichet Rd, London E20 1EJ, UK",51.54317291,-0.00667,51.543936,-0.011155,51.544487,-0.006999,51.542993,-0.00395,,,,,,,,,,,,
Samsara HQ,"32-38 Leman St, London E1 8EW",51.514143,-0.070803,51.513989,-0.070637,51.514198,-0.070378,,,,,,,,,,,,,,
